=== INTERLOCKING STRESS TEST SUITE ===

[CONFLICT] 2026-03-16T21:07:12.237827600 | FOLLOWING CONFLICT | train: NEW_72 | location: H_T_72
[CONFLICT] 2026-03-16T21:07:12.237827600 | HEAD-ON CONFLICT | train: NEW_73 | location: H_T_73
[CONFLICT] 2026-03-16T21:07:12.237827600 | FOLLOWING CONFLICT | train: NEW_74 | location: H_T_74
[CONFLICT] 2026-03-16T21:07:12.237827600 | FOLLOWING CONFLICT | train: NEW_75 | location: H_T_75
[CONFLICT] 2026-03-16T21:07:12.237827600 | FOLLOWING CONFLICT | train: NEW_76 | location: H_T_76
[CONFLICT] 2026-03-16T21:07:12.237827600 | HEAD-ON CONFLICT | train: NEW_77 | location: H_T_77
[CONFLICT] 2026-03-16T21:07:12.237827600 | FOLLOWING CONFLICT | train: NEW_78 | location: H_T_78
[CONFLICT] 2026-03-16T21:07:12.237827600 | HEAD-ON CONFLICT | train: NEW_79 | location: H_T_79
[CONFLICT] 2026-03-16T21:07:12.237827600 | HEAD-ON CONFLICT | train: NEW_80 | location: H_T_80
[CONFLICT] 2026-03-16T21:07:12.237827600 | FOLLOWING CONFLICT | train: NEW_81 | location: H_T_81
[CONFLICT] 2026-03-16T21:07:12.237827600 | FOLLOWING CONFLICT | train: NEW_82 | location: H_T_82
[CONFLICT] 2026-03-16T21:07:12.237827600 | FOLLOWING CONFLICT | train: NEW_83 | location: H_T_83
[CONFLICT] 2026-03-16T21:07:12.237827600 | FOLLOWING CONFLICT | train: NEW_84 | location: H_T_84
[CONFLICT] 2026-03-16T21:07:12.237827600 | HEAD-ON CONFLICT | train: NEW_85 | location: H_T_85
[CONFLICT] 2026-03-16T21:07:12.238825800 | HEAD-ON CONFLICT | train: NEW_86 | location: H_T_86
[CONFLICT] 2026-03-16T21:07:12.238825800 | FOLLOWING CONFLICT | train: NEW_87 | location: H_T_87
[CONFLICT] 2026-03-16T21:07:12.238825800 | HEAD-ON CONFLICT | train: NEW_88 | location: H_T_88
